id,uuid,recorded_date,duration_seconds,sample_rate_hertz,channels,bit_rate_bps,media_type,data_length_bytes,file_hash,original_file_name
1,837df827-2be2-43ef-8f48-60fa0ee6ad37,1993-07-12 05:52:13Z,60.2260,22050,1,352449,video/x-ms-asf,2653326,SHA256::,""
2,51f89dab-d40b-481d-8f6a-358245a05517,1993-07-12 05:54:56Z,60.3010,22050,1,353477,video/x-ms-asf,2664380,SHA256::f3428287e57e1b0f457730c7fae15959424ea86220521e6db39a11811a69eaf9,""
3,b5e8a446-687a-456b-9486-3fb84a5e6d65,1993-07-12 06:04:56Z,60.2050,22050,1,354041,video/x-ms-asf,2664380,SHA256::2d4f7ebe7cd13b842305491dd2ae979b03820129ebc139f2f9d026b0a8a88e0d,""
4,4587bf27-5ac5-419c-813d-32b9fb14b128,1993-07-12 06:14:56Z,60.1820,22050,1,354176,video/x-ms-asf,2664380,SHA256::,""
5,1824ad5f-53bb-4f13-b59b-458b1d6b4dbd,1993-07-12 06:24:56Z,60.2110,22050,1,354005,video/x-ms-asf,2664380,SHA256::,""
6,bb1e357a-be64-443b-8e40-091dadfcfcf5,1993-07-12 06:34:56Z,60.2100,22050,1,354011,video/x-ms-asf,2664380,SHA256::bfef1eabce748e0294b496f98ebab2cbb9afc50c7a2c1cca5c2be45dff4b2006,""
1824,d0cf1e86-d339-4a06-89f4-552f35b42f99,2007-07-28 11:14:22Z,10.8440,22050,1,353000,audio/x-wav,478252,SHA256::,""
64,e442bfec-e1c0-4578-9206-9bc0b7b1e775,2007-03-14 11:00:00Z,30.0000,22050,1,353000,audio/x-wav,1323044,SHA256::,""
65,156ee0f0-c87c-4744-9627-fbb39b7288a8,2007-03-14 11:30:00Z,30.0000,22050,1,353000,audio/x-wav,1323044,SHA256::9499c7cc7c82fc4dd10edeb3bc8476fe689dd666eac11897cdb50c537ab6938a,""
66,0682f270-d6d9-44cb-b896-4105a80489a8,2007-03-14 12:00:00Z,30.0000,22050,1,353000,audio/x-wav,1323044,SHA256::,""
67,d59fb51a-5df3-4746-80e4-7be9f0d62640,2007-03-14 12:30:00Z,30.0000,22050,1,353000,audio/x-wav,1323044,SHA256::,""
68,4dcda86a-63be-469e-9c9d-6e11a051c4dd,2007-03-14 13:00:00Z,30.0000,22050,1,353000,audio/x-wav,1323044,SHA256::ab3cd177f10ce89cbf991fb7a6bc801bd24668d0ff11178fe9701848bcffc536,""
69,3b6064e2-ddc0-419d-ac91-83bf8ab28d05,2007-03-14 13:30:00Z,30.0000,22050,1,353000,audio/x-wav,1323044,SHA256::05a07d93e36dbfe8fbdc2241c78d3959677866f5eaf53151082219f6a49d41a1,""
13428,06c69858-f97b-4f0d-98e5-1ffaa7b65c5d,2008-06-03 09:52:30Z,29.9800,22050,1,129000,audio/x-wv,484916,SHA256::7e3aa92d3eb28a2376d7626542a8dba1ed28c7917172f44e4eb56458bdb60f67,""
13429,7b89d829-074e-4374-b462-6bdcad34dd0e,2008-06-03 10:00:00Z,30.2740,22050,1,353544,video/x-ms-asf,1337900,SHA256::,""
13430,e44fecbb-754d-40f7-a555-2d9a874299c4,2008-06-03 10:22:30Z,30.1900,22050,1,119000,audio/x-wv,449972,SHA256::03452f8b8cd3dcc011933b2c8023b502bdbcab31fc7f40ac044b6d78f9db0006,""
13431,609577df-e6cf-4001-9776-22ee25e95615,2008-06-03 10:30:00Z,30.4850,22050,1,353998,video/x-ms-asf,1348954,SHA256::,""
13432,89d247ca-7198-4777-ab1c-c387bddae51f,2008-06-03 10:52:30Z,30.1500,22050,1,120000,audio/x-wv,452898,SHA256::,""
140330,d9399af9-b3e6-43f8-8134-33b6cc543315,2010-02-23 20:44:00Z,91.5320,44100,2,128000,audio/mpeg,1464528,SHA256::,test_test_10.mp3
140331,c41fee80-d39a-41e6-b32d-05b0fc921f53,2010-02-23 20:42:00Z,120.0320,44100,2,128000,audio/mpeg,1920522,SHA256::,test_test_08.mp3
238516,38d93c28-6969-40cf-bedd-e067e4ceae10,2011-10-04 14:00:00Z,86098.5350,44100,2,128000,audio/mpeg,1377579258,SHA256::789c87304f7fcd3ce6271145317419bb2193ebd2d8c851378074b644be1fc2ea,DM420025_20111005_000000.MP3
238517,ec9e3558-4cbd-4d2a-a899-8c4f86bacf4f,2011-10-03 14:00:00Z,86098.5350,44100,2,128000,audio/mpeg,1377579258,SHA256::1c663fe5a5c696779039ce87f1ba22d9ffa3a0628b05a719c5ecde0c6c88ae04,DM420024_20111004_000000.MP3
238518,a5a9d7e6-ca99-48de-be75-bb5962c54f52,2011-10-02 14:00:00Z,86098.5090,44100,2,128000,audio/mpeg,1377578840,SHA256::,DM420023_20111003_000000.MP3
238519,6a9eb001-4adb-439c-ac0e-01b4c9ee36f7,2011-10-01 14:00:00Z,86098.5090,44100,2,128000,audio/mpeg,1377578840,SHA256::,DM420022_20111002_000000.MP3